file,method,cyclomatic,halstead_volume,halstead_difficulty,halstead_effort,operators_distinct,operands_distinct,operators_total,operands_total
Domain\LoadService.cs,LoadService.LoadService,4,161.42124551085624,6.708333333333334,1082.8675219686606,7,12,15,23
Domain\LoadService.cs,LoadService.LoadProductBatch,5,450.3799746402741,12.310344827586206,5544.332791261305,14,29,32,51
Domain\LoadService.cs,LoadService.LogBatchDetails,2,724.2975698908618,12.157894736842106,8805.933612883637,11,38,45,84
Domain\ModelsForAnalysis.cs,UserSegment.UserSegment,1,78.13781191217038,4,312.5512476486815,6,9,8,12
Domain\ModelsForAnalysis.cs,ForecastOfOrders.ForecastOfOrders,1,53.77443751081734,3.2142857142857144,172.84640628477004,5,7,6,9
Domain\ModelsMain.cs,Product.Product,1,108,3.6363636363636367,392.72727272727275,5,11,11,16
Domain\ModelsMain.cs,ProductInfo.ProductInfo,1,178.8135375281251,4.333333333333333,774.8586626218754,6,18,13,26
Domain\ModelsMain.cs,User.User,1,76.14709844115208,2.6,197.98245594699543,4,10,7,13
Domain\ModelsMain.cs,User.User,1,83.76180828526729,2.8,234.5330631987484,4,10,8,14
Domain\ModelsProductLine.cs,ProductLine.ProductLine,3,131.68575291675114,7.6499999999999995,1007.3960098131462,9,10,14,17
Domain\ModelsProductLine.cs,ProductLine.ProductLine,3,142.62362713128297,7.363636363636364,1050.2285270576292,9,11,15,18
Domain\ModelsProductLine.cs,Inventory.Inventory,3,197.10155180436175,7.764705882352942,1530.4355787162208,11,17,17,24
Domain\ModelsProductLine.cs,ProductBatch.ProductBatch,2,149.27754454988144,6.923076923076923,1033.4599238068715,10,13,15,18
Domain\ModelsReceiptLine.cs,ReceiptLine.ReceiptLine,3,160.5395382709427,7.916666666666666,1270.9380113116297,10,12,17,19
Domain\ModelsReceiptLine.cs,Receipt.Receipt,5,422.8321775089799,14.0625,5946.077496220029,15,24,35,45
Domain\ProductService.cs,ProductService.ProductService,4,161.42124551085624,6.708333333333334,1082.8675219686606,7,12,15,23
Domain\ProductService.cs,ProductService.GetAllAvailableProducts,5,372.23460010384645,14.636363636363637,5448.1609651562985,14,22,26,46
Domain\ProductService.cs,ProductService.MakePurchase,5,399.1446071165522,16.26086956521739,6490.438393982196,17,23,31,44
Domain\ProductService.cs,ProductService.GetInfoOnProduct,4,338.6144687658818,12.782608695652174,4328.376252920402,14,23,23,42
Domain\ProductService.cs,ProductService.CheckNewAmount,5,382.5744501067311,15.272727272727272,5842.95523799371,14,22,26,48
Domain\UserService.cs,UserService.UserService,3,108,6.222222222222221,671.9999999999999,7,9,11,16
Domain\UserService.cs,UserService.CheckPasswordAndGetUserType,4,325.5976218400217,13.65,4444.407538116297,14,20,25,39
E2E.Tests\DatabaseFixture.cs,DatabaseFixture.DatabaseFixture,3,872.9853167422236,14.083333333333332,12294.543210786314,13,42,60,91
